"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","total_alt"
"C12","page1_standard.jpg",85201.4,94.3,"Trial001",1,1101.7,1.3,18,5558.9,6.5,70,71915.9,84.4,89,78576.5,78,1819.5,99.6,3167,12,"standard",8,3,1,5,8,18,5,3,1,1,18,1,72
"C12","page2_standard.jpg",55768.9,95.9,"Trial002",1,600.9,1.1,18,4139.9,7.4,59,47509.9,85.2,78,52250.8,77,1786.2,92.7,2836.9,3,"standard",3,4,2,7,2,28,6,6,2,3,28,1,92
"C12","page3_standard.jpg",40171.5,94.6,"Trial003",0,0,0,11,2510.9,6.3,53,34226.9,85.2,64,36737.9,63,1641.2,94.2,1880.5,1,"standard",2,0,1,3,2,16,4,1,0,1,16,0,46
"C12","page4_clean.png",52000.7,93.5,"Trial004",15,8514.1,16.4,20,3622.7,7,62,25389.6,48.8,98,37710,95,10768.6,950.7,5749.4,3,"clean",48,4,3,2,48,20,6,3,2,4,17,4,161
"C12","page5_clean.jpg",58850.2,94.6,"Trial005",11,2881.9,4.9,31,9367.3,15.9,74,40094.1,68.1,116,52343.4,110,4061.6,190.5,3803.8,4,"clean",25,9,17,21,23,28,15,16,12,13,33,11,223
"C12","page6_clean.jpg",32291.1,95.6,"Trial006",5,1285.4,4,6,2103.4,6.5,35,26305.6,81.5,47,29912,44,1135.9,50.1,1508.7,2,"clean",10,2,2,2,10,11,3,1,2,2,10,3,58
"E70","page1_standard.jpg",89214.6,95.5,"Trial001",2,851.4,1,16,3539,4,90,78458,87.9,108,82848.4,107,3989.7,232.1,3723.5,2,"standard",7,5,0,10,7,6,10,5,0,0,6,0,56
"E70","page2_standard.jpg",74588.2,90.8,"Trial002",3,1018.4,1.4,26,11567.9,15.5,77,52617.6,70.5,106,65203.9,103,2354.8,118.8,3794.2,5,"standard",19,10,0,14,14,7,9,15,0,0,7,0,95
"E70","page3_standard.jpg",69731.4,96.8,"Trial003",5,2804.7,4,26,7937.8,11.4,66,54528.2,78.2,97,65270.7,94,2070.6,107.7,3852.9,5,"standard",10,14,0,13,8,5,12,16,2,2,5,0,87
"E70","page4_clean.png",66737.4,97.5,"Trial004",22,9507.5,14.2,12,2754.3,4.1,65,50587.9,75.8,99,62849.7,97,2488.6,112,3136.9,2,"clean",21,8,1,8,19,2,5,11,0,0,2,1,78
"E70","page5_clean.jpg",122681.4,96.5,"Trial005",41,20933.5,17.1,53,16091.8,13.1,113,76589.2,62.4,207,113614.6,204,4390.4,190.8,7461.1,4,"clean",54,29,3,16,58,4,20,24,1,1,4,3,217
"E70","page6_clean.jpg",54177.6,94.5,"Trial006",8,4356.5,8,20,5876.3,10.8,76,38546.5,71.1,104,48779.3,102,2387.2,120.8,4040.1,2,"clean",9,1,0,9,7,8,8,2,0,0,8,0,52
"K16","page1_standard.jpg",47704.6,90.9,"Trial001",2,350.6,0.7,47,18779.6,39.4,48,16593.7,34.8,101,36141.2,94,6226.6,538.6,5119.8,10,"standard",22,17,2,22,22,28,22,18,5,7,28,1,194
"K16","page2_standard.jpg",65878.2,88,"Trial002",0,0,0,31,8112.8,12.3,113,42303.1,64.2,144,50415.9,141,6763,508.5,5765.4,5,"standard",11,6,2,17,11,33,17,7,4,5,33,1,147
"K16","page3_standard.jpg",39438.6,91.6,"Trial003",2,250.5,0.6,29,6714.5,17,57,18549.2,47,88,25514.2,88,8678.8,775.6,4589.5,9,"standard",12,10,0,24,10,7,23,12,3,4,6,0,111
"K16","page4_clean.png",41659.1,91.7,"Trial004",7,985,2.4,7,1335.2,3.2,58,26224.1,62.9,72,28544.3,69,7580.3,1055.2,4560.9,2,"clean",3,5,8,2,3,30,2,7,6,8,30,6,110
"K16","page5_clean.jpg",64495.5,87.9,"Trial005",19,3055.2,4.7,24,3906.3,6.1,94,22252,34.5,137,29213.5,121,22379.7,2556.6,11322.6,13,"clean",30,13,4,13,31,56,15,13,6,7,56,3,247
"K16","page6_clean.jpg",31161.6,81,"Trial006",12,1953.1,6.3,6,1001.8,3.2,48,9253.3,29.7,67,12325.1,58,9505,1034.9,3888.6,10,"clean",13,6,7,2,16,13,4,3,0,0,14,6,84
"K17","page1_standard.jpg",16744.2,89.7,"Trial001",0,0,0,4,1235.3,7.4,25,12870.6,76.9,29,14105.9,23,467.4,37.1,1657.2,7,"standard",1,0,0,3,1,0,4,0,0,0,0,0,9
"K17","page2_standard.jpg",27243.8,90.3,"Trial002",0,0,0,9,2354.2,8.6,37,20666,75.9,48,23354.1,39,1101.8,81.6,2989.8,12,"standard",3,2,0,8,3,3,9,2,2,2,2,0,36
"K17","page3_standard.jpg",21435.1,90.3,"Trial003",0,0,0,9,2087,9.7,28,15841.6,73.9,39,18162.3,36,1035,133.4,4062.7,9,"standard",0,2,0,7,0,3,8,2,1,1,2,0,26
"K17","page4_clean.png",20877.7,86.1,"Trial004",2,667.7,3.2,2,484.1,2.3,26,16042.5,76.8,30,17194.4,23,467.4,39.3,1498,9,"clean",10,4,0,1,8,4,2,5,0,1,2,1,38
"K17","page5_clean.jpg",29140.9,91.5,"Trial005",2,567.6,1.9,12,4373.7,15,44,20499.4,70.3,58,25440.7,50,1085.1,96,3893,14,"clean",10,2,0,14,6,6,11,6,3,3,6,0,67
"K17","page6_clean.jpg",23081.7,89.6,"Trial006",1,434,1.9,8,2370.4,10.3,36,16876.5,73.1,45,19681,34,767.9,48.6,1684.8,11,"clean",5,0,0,6,2,3,4,3,0,0,3,0,26
"K18","page1_standard.jpg",28734.4,87.2,"Trial001",2,2387.1,8.3,20,10166.1,35.4,13,11050.7,38.5,37,24205,29,617.7,53.3,2226.5,9,"standard",18,27,2,13,19,1,15,26,4,5,0,2,132
