"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"E1","2-3 standard.jpg",31977.3,91.2,"Trial001",0,0,0,10,5692.3,17.8,32,22686.2,70.9,42,28378.5,35,634.3,32.1,1621.9,7,"standard",8750.8,4,4,0,7,4,4,7,4,0,0,4,0,3.68812170860152,18.683440608543,40,3
"E1","4 standard.jpg",28343.1,92.8,"Trial002",1,2571.2,9.1,5,3388.9,12,22,19533,68.9,28,25493.1,24,434,11.7,539.6,4,"standard",17969.2,16,20,0,10,14,1,8,22,0,0,1,0,7.99215173315893,79.3930673642904,94,3
"E1","5 standard.jpg",13340.1,89,"Trial003",0,0,0,8,3689.4,27.7,12,7713.1,57.8,20,11402.5,18,367.6,22.8,854.3,3,"standard",5761.5,2,0,0,2,1,1,1,1,0,0,1,0,0.322627737226277,3.95620437956204,11,3
"E1","6-7 standard.jpg",72957.8,96.6,"Trial004",1,217,0.3,39,12236.5,16.8,79,54954.2,75.3,121,67841.7,119,2670.9,216.6,7533.7,8,"standard",9418.8,1,2,1,13,0,10,12,2,2,0,10,2,5.71589793915604,27.4774288518155,57,3
"E1","8-9 partially separated.jpg",42978.4,94,"Trial005",8,2131.7,5,13,3722.8,8.7,42,32805,76.3,63,38659.6,61,1705,134.8,3082.3,5,"partial",7030.7,6,0,3,4,5,6,3,2,1,1,6,3,2.36610608020699,19.1789564467443,42,3
"E1","12 partially separated.jpg",25761.8,94.3,"Trial006",2,299.6,1.2,8,2703.1,10.5,35,20171.3,78.3,45,23174,44,993.9,51.6,1773,3,"partial",4241.8,7,0,0,4,5,4,2,2,0,0,4,0,2.19438444924406,19.6400287976962,30,3
"E1","13 partially separated.jpg",35672.9,94.8,"Trial007",7,3322,9.3,10,4807.4,13.5,56,23086.9,64.7,73,31216.3,71,2304.4,110.7,2245.9,4,"partial",5177,18,0,1,4,17,4,3,1,3,3,4,1,1.73023504273504,35.8504273504274,61,3
"E1","14-15 partially separated.jpg",27995.9,95.7,"Trial008",6,734.5,2.6,14,5609.9,20,37,18145.8,64.8,57,24490.1,58,2403.8,386.3,3730.3,4,"partial",9519,4,0,1,1,3,4,0,1,3,3,4,1,0.0476514635806671,13.8427501701838,27,3
"F36","2-3 standard.jpg",16538.6,90.7,"Trial001",1,183.6,1.1,3,550.8,3.3,25,13571.4,82.1,29,14305.8,27,617.6,25.8,785.1,2,"standard",5961.9,3,4,0,1,3,2,2,3,0,0,2,0,0.40512223515716,10.2526193247963,22,3
"F36","4 standard.jpg",14489,90.9,"Trial002",0,0,0,1,517.5,3.6,24,11970.1,82.6,25,12487.6,21,500.8,18.3,547.9,4,"standard",6579.8,0,0,0,2,0,3,1,0,0,0,3,0,0.779548472775564,5.74767596281541,11,3
"F36","5 standard.jpg",6630.7,81.2,"Trial003",0,0,0,2,517.6,7.8,10,4439.9,67,12,4957.5,11,352,15.7,418.3,2,"standard",3857.7,0,0,0,1,0,1,1,0,0,0,1,0,0.0743243243243243,2.75337837837838,6,3
"F36","6-7 standard.jpg",18268.4,95.2,"Trial004",0,0,0,10,2737.5,15,31,13538.7,74.1,41,16276.2,40,1068.4,64.5,2151.3,2,"standard",4509,1,1,0,4,1,2,5,1,1,1,2,0,2.06441717791411,10.1942740286299,21,3
"F36","8-9 partially separated.jpg",17365.4,92.2,"Trial005",2,467.4,2.7,9,1886.2,10.9,27,12536.8,72.2,38,14890.4,35,851.3,64,1846.7,3,"partial",6245.8,3,0,0,3,1,1,1,2,0,0,1,0,1.57302118171683,8.31215161649944,14,3
"F36","12 partially separated.jpg",12822.3,92.8,"Trial006",1,133.6,1,8,1736.2,13.5,21,9198,71.7,30,11067.8,29,851.4,45.5,1311.1,1,"partial",3356.7,8,0,0,3,6,1,1,2,1,1,1,0,1.79066265060241,16.8117469879518,26,3
"F36","13 partially separated.jpg",11843,87.3,"Trial007",0,0,0,4,1218.9,10.3,25,8361.6,70.6,29,9580.4,26,603.1,30.9,887.7,2,"partial",2237.8,3,0,0,2,3,4,1,0,0,0,4,0,0.753043478260869,9.36347826086956,19,3
"F36","14-15 partially separated.jpg",13822.1,88.4,"Trial008",1,417.3,3,7,1686.2,12.2,24,9315.1,67.4,32,11418.5,29,734.6,53.3,1548.6,4,"partial",4659.3,1,0,0,4,1,3,5,0,0,0,3,0,1.92430858806405,9.93595342066958,19,3
"F43","2-3 standard.jpg",22532.6,76.4,"Trial001",12,3745.3,16.6,18,6049.9,26.8,18,6326.9,28.1,48,16122.2,45,1035.7,67.6,1973.2,4,"standard",1820.3,5,43,1,9,5,1,8,42,2,1,2,1,2.21775025799794,52.7265221878225,122,3
"F43","4 standard.jpg",15405.1,82.1,"Trial002",0,0,0,2,328.6,2.1,32,10969.3,71.2,34,11297.9,30,1039.5,134.2,1232.6,4,"standard",6095.5,3,4,0,3,4,0,4,3,0,0,0,0,2.07227138643068,15.5221238938053,23,3
"F43","5 standard.jpg",9926.3,82.6,"Trial003",16,4650.4,46.8,11,2353.8,23.7,0,0,0,27,7004.2,27,1093.2,50.2,1063.7,3,"standard",0,0,3,0,0,0,0,0,4,2,2,0,0,0,7.95465393794749,13,3
"F43","6-7 standard.jpg",22698.1,92.5,"Trial004",20,5492.6,24.2,38,11700.2,51.5,2,233.7,1,64,18303.9,63,2647.5,99,2133.1,3,"standard",183.7,1,6,8,1,1,0,1,6,0,0,0,8,0.111111111111111,19.2131147540984,34,3
"F43","8-9 partially separated.jpg",22878.5,92.7,"Trial005",22,4824.7,21.1,5,1018.1,4.5,39,9125.7,39.9,66,14968.5,64,5598.3,320.6,3574.3,2,"partial",2254.5,18,0,0,1,18,0,1,0,0,0,0,0,0.0465116279069767,17.5027685492802,40,3
"F43","12 partially separated.jpg",15288,87,"Trial006",23,5692.6,37.2,3,951.4,6.2,15,4724.3,30.9,41,11368.3,43,1603.8,136.3,2632,6,"partial",2839,19,1,0,1,20,0,1,0,1,1,0,0,0.527777777777778,31.4868421052632,46,3
"F43","13 partially separated.jpg",14938.9,85.9,"Trial007",5,1469.2,9.8,3,767.9,5.1,33,9147.9,61.2,41,11385.1,41,1135.5,51,1466.5,3,"partial",2588.5,11,2,2,1,10,0,0,2,0,0,0,2,0.068814055636896,17.3382137628111,32,3
"F43","14-15 partially separated.jpg",19249.8,87.2,"Trial008",9,2971.6,15.4,1,200.3,1,41,9726.5,50.5,51,12898.4,49,2873.4,186,2831.9,5,"partial",4959.9,9,1,1,0,9,3,1,1,0,0,3,1,0,12.8794871794872,31,3
"F63","2-3 standard.jpg",144913.2,83.9,"Trial001",39,7401.8,5.1,87,22064,15.2,152,61829.1,42.7,297,95452.2,280,21306.4,1912.4,16702.9,39,"standard",9652.6,37,84,28,56,41,40,62,78,18,19,38,29,23.9270543175487,224.762360724234,532,3
"F63","4 standard.jpg",121466.8,82.8,"Trial002",37,7701.5,6.3,87,20570,16.9,116,47689.6,39.3,249,77213.2,238,19202.4,1385.6,14391.9,24,"standard",5076.8,34,47,25,51,30,26,47,50,9,8,26,26,33.4121329879102,229.988341968912,381,3
"F63","5 standard.jpg",58786.5,87.7,"Trial003",4,717.8,1.2,58,12252.9,20.8,52,23293.2,39.6,114,36263.9,116,13909,1088.7,9694.4,13,"standard",6379.4,12,14,1,19,11,6,18,15,8,8,6,1,7.17919340054995,47.2332722273144,121,3
"F63","6-7 standard.jpg",175523.6,80.4,"Trial004",19,7031.8,4,122,33906.8,19.3,129,71847.5,40.9,278,114171.7,265,16742.2,1782.5,20868.7,63,"standard",9034.7,51,56,7,42,43,52,37,64,42,45,49,7,15.8066298342541,225.828002326258,497,3
"F63","8-9 partially separated.jpg",185941.4,86.4,"Trial005",71,21037.3,11.3,129,33889.6,18.2,129,79940.4,43,330,134952.5,318,20826.3,2513.1,27989.1,49,"partial",7999.3,65,7,31,12,57,32,6,14,14,15,31,31,5.65279487810884,158.27530164984,317,3
"F63","12 partially separated.jpg",62647.1,92,"Trial006",35,7288.3,11.6,60,17547.2,28,45,24438,39,148,50625.7,135,6646.7,454.6,9411.7,10,"partial",5544.4,27,10,19,2,26,19,1,10,13,13,19,19,0.151048492791612,101.695937090433,180,3
"F63","13 partially separated.jpg",201718.5,86.4,"Trial007",75,30117.4,14.9,110,37162.6,18.4,154,89750.8,44.5,342,157681.8,321,17281,2236.8,30443,27,"partial",6112.2,85,5,35,17,79,107,14,7,33,32,105,38,7.85828933474129,263.956705385428,559,3
"F63","14-15 partially separated.jpg",116067.7,79,"Trial008",18,11011.7,9.5,52,18862.4,16.3,90,55358.6,47.7,161,85432.9,153,5852.6,767.5,19035.4,28,"partial",9719.4,24,4,12,5,26,40,7,1,15,15,40,12,2.7177089421391,90.0911747516072,203,3
"F77","2-3 standard.jpg",27580.8,89.8,"Trial001",5,1368.7,5,9,3956.4,14.3,34,17082.6,61.9,48,22407.7,44,918.5,33.2,1200.8,4,"standard",8199.7,11,10,2,6,10,1,6,10,0,0,1,2,1.96288047512992,22.2190051967335,61,3
"F77","4 standard.jpg",25861.8,90.9,"Trial002",4,1723.1,6.7,16,5537.7,21.4,31,13187.7,51,52,20599,50,2422.4,165.8,1890.2,4,"standard",2672,3,7,0,6,5,0,8,3,3,2,0,1,3.18203883495146,21.9522653721683,40,3
"F77","5 standard.jpg",19137,85.6,"Trial003",17,9215.1,48.2,17,6344.1,33.2,0,0,0,34,15559.3,31,818.7,37.9,942.5,2,"standard",0,0,7,6,0,0,0,0,8,1,1,0,6,0,18.0899357601713,31,3
