"id","level","quarter"
"E16","L1","F"
"E26","L2","F"
"E34","L2","F"
"E35","L3","F"
"E61","L3","F"
"F30","L3","S"
"F47","L3","S"
"F68","L3","S"
"F70","L3","S"
"F82","L2","S"
"K28","L1","S"
"K31","L3","S"
"K9","L3","S"
"S3","L1","F"
"S82","L1","F"
"Y27","L3","S"
"Y42","L1","S"
"Y6","L3","S"
"E27","L2","F"
"E31","L1","F"
"E5","L2","F"
"E8","L1","F"
"E9","L1","F"
"F15","L3","S"
"F34","L3","S"
"F42","L3","S"
"K2","L3","S"
"K23","L2","S"
"K30","L3","S"
"K45","L2","F"
"K80","L2","F"
"K81","L3","F"
"S18","L3","F"
"S6","L2","F"
"S7","L3","F"
"E1","L2","F"
"F36","L3","S"
"F43","L3","S"
"F63","LP","S"
"F77","L2","S"
"K40","L2","F"
"K43","L3","F"
"K46","L3","F"
"K51","L2","F"
"S131","L3","F"
"Y12","L2","S"
"Y29","L3","S"
"Y40","L1","S"
"Y44","L3","S"
"Y46","L3","S"
"E13","L2","F"
"E30","L1","F"
"E56","L1","F"
"F16","L3","S"
"F71","L2","S"
"K20","L2","S"
"K21","L1","S"
"K29","L2","S"
"K42","L2","F"
"K44","L2","F"
"K48","L2","F"
"K50","L3","F"
"S126","L2","F"
"S127","L2","F"
"S137","L3","F"
"S14","L1","F"
"Y39","L3","S"
"Y41","L2","S"
"Y43","L3","S"
"Y45","L2","S"
"C12","L2","S"
"E70","L2","F"
"K16","L2","S"
"K17","L3","S"
"K18","L3","S"
"K19","L3","S"
"K24","L2","S"
"K25","L3","S"
"K33","L3","S"
"K34","L2","S"
"K38","L3","S"
"K4","L3","S"
"K6","L2","S"
"K7","L3","S"
"K8","L2","S"
"L159","L1","F"
"S101","L1","F"
"S93","L1","F"
"K1","L3","S"
"K10","L3","S"
"K12","L3","S"
"K13","L3","S"
"K14(K15A)","L2","S"
"K15","L3","S"
"K22","L2","S"
"K27","L1","S"
"K32","L2","S"
"K35","L3","S"
"K36","L2","S"
"K37","L3","S"
"K5","L1","S"
"K77","L1","F"
"K78","LP","F"
"S138","L2","F"
