"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","E16",29391.85,8,1294.7125,2.7,9.5,1806.6,27.1674227551489,12.75,5424.6,8.65,19.5,4975.6125,16.75,1911.5875,223.8375,1380.75,12.875,3.625,0,3.375,0,3.625,3.125,0,0,0.875,0.875,3,3.5,22,1
"2","E26",17991.3375,3.375,1062.5875,4.35,27.75,8026.625,76.4,37.75,18849.85,77.625,36.5,14589.9375,34.25,1004.975,64.8375,1686.7375,4,6.375,0.5,0.625,0,6.25,4,0,0.375,1.375,1.25,4,0.75,25.5,1
"3","E34",12743.8375,11,1796.6125,8.6375,7.5,1273.2,43.9,24,7353.55,36.25,26.875,6160.0625,24.625,2627.0375,439.9125,2488.725,4,8.75,0,3.25,0,8.5,2.375,0,0.125,1.125,1.25,2.25,3.25,30.875,1
"4","E35",20356.6,15,3692.7,7.7,6.75,1552.675,29.2,22.75,10988.475,40.85,31.25,10155.4625,27.875,2527.725,329.4625,2215.8375,8.25,5.5,0,8.75,0,5.125,2.25,0,0.25,0.5,0.75,2.125,8.75,34,1
"5","E61",17043.0375,3.625,471.8125,3.2125,8.5,1488.975,10.5,9.5,1669.35,8.8,12.625,2050.975,8.875,561.5125,115.925,1577.075,18.75,1.875,0.125,2.375,0,1.75,4.125,0,0,1.625,1.625,4.125,2.375,20,1
"6","F30",14660.4,14.5,2956.75,12.325,10.25,2082.375,41.875,21.75,6983.4,31.1,30.5,7489.6375,29.125,2479.9375,350.85,2706.3875,4.75,9.875,0.125,5.125,0,9.875,3.875,0,0.125,1.375,1.375,4,5,40.75,1
"7","F47",13025.475,1.125,304.6625,1.475,22.25,7716.275,75.825,29,12520.225,79.625,26.875,10437.525,24,805.8625,56.125,1480.55,3.5,3.125,0.25,0.375,0,3,3.75,0,0.125,1,0.875,3.75,0.5,16.75,1
"8","F68",12658.8125,0.375,123.1125,0.5875,9.5,2004.975,56.6,41,18901.1,86.5,25.625,10576.15,24.625,554.5,31.6125,1187.7625,3,1.5,0,0,0,1.5,0,0,0,0,0,0,0,3,1
"9","F70",14559.3375,2.75,824.0875,4.6,16.75,5078.075,71.65,33,16221.65,71.675,27.625,11473.95,26.25,1624.875,152.2875,1224.1,2,6.5,0.75,0.125,0,6.75,1.125,0,0.75,0.375,0.375,1.125,0.125,18,1
"10","F82",15948.1125,0.625,71.3,0.475,0,0,0,0.75,88.8,0.475,1.25,143.7375,0.75,53.0375,14.35,173.2125,8,0.125,0,0.625,0,0.375,0.375,0,0,0,0,0.625,0.375,2.5,1
"11","K28",23311.3125,3.375,883.7625,2.3375,16,4060.1,81.2,56.75,36831.1,88.25,39.75,21329.375,38.375,1096.1,50.0875,1271.775,1.75,11.125,0.5,0.625,0,11.25,3.5,0,0.5,0.5,0.5,3.625,0.5,32.625,1
"12","K31",21277.65,2,653.2625,2.35,24.5,9982,69.25,37.75,22844.4,79.85,33.75,17323.1,29.625,716.3125,47.1,1514.5,6.375,5,0.5,1.125,0,5.25,6,0,0.625,1.625,1.75,6.25,0.75,28.875,1
"13","K9",14635.175,1.25,404.775,1.8125,12,4306.725,69.8,24.25,19453.575,84.825,19.375,12284.9375,17.625,386.3875,25.1875,879.325,2.5,2.625,0.125,0.375,0,2.5,1.375,0,0.125,0,0,1.375,0.375,8.875,1
"14","S3",46019.175,28,9362.5625,14.1875,26,5037.725,40.05,69.5,42508.5,53.225,76.375,33258.8125,71.625,6051.325,688.6875,4952.4875,9.625,33.875,1.125,8.875,0,34,9,0,1.5,1.625,1.625,9.5,8.375,109.5,1
"15","S82",59770.675,45.625,28908.0875,33.6625,5.25,1162.825,26.375,41,32969.65,27.05,69,46101.625,64.875,1888.5125,155.1,3267.025,12.5,35,0.625,8.875,0,35.5,3.25,0,0.375,0,0,3.625,8.5,95.75,1
"16","Y27",10899.6125,2.125,588.95,3.3875,8,1848.5,41.75,32,13152.725,73.125,22.125,8089.525,21.875,1215.325,83.875,1139.3625,2.625,5.25,0.125,0.25,0,5,2.375,0,0,0.375,0.375,2.25,0.375,16.375,1
"17","Y42",25167.55,20.5,3726.65,9.4875,7.75,1964.125,29.925,36.75,12639.125,28.225,44,11195.6375,40.25,4132,546.1,3187.8875,9,13.25,0.375,7.625,0,12.75,3.375,0,0.375,1.125,1.25,3,8,51.125,1
"18","Y6",9650.825,0.75,196.1375,1.425,6.25,1619.25,84.875,27,14998.925,85.9,17.375,8505.225,15.125,415.2625,49.3375,1580.325,3.625,3.75,0,0.25,0,4.125,0.375,0,0,0,0,0.625,0,9.125,1
