"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt"
"1","E16",69257.825,21.75,4292.2,6.37366030662758,28.5,5086.2,7.925,30.25,8711.05,13.2223843829578,98,22058.05,86.5,9989.675,1441.7,10469.3,28.25,16.75,21,22.75,19.25,17.75,12.25,20,20,16,15.75,12.5,22.75,216.75
"2","E26",24294.175,1.25,455.275,1.575,3.75,1142.55,5.1,32.5,17808.225,72.275,38,19486.075,35.75,1779.325,153.525,1950.625,5.5,4,5.5,0.5,1.75,3.25,16,2,5.5,1,1.25,15.5,1,57.25
"3","E34",27078.45,2.25,601.275,2.375,16.5,3877.45,15.15,34.5,14368.675,51.225,53.25,18847.375,47.25,3209.375,563.625,3518.575,8.75,9.5,12.5,0.5,11.75,9,6.25,12.75,12.5,3,3.5,5.5,0.75,87.5
"4","E35",25792.1,4.25,1031.8,4.15,9,3268.625,11.75,21.5,12545,41.25,36.25,17029.7,32.75,1627.4,178.45,2026.9,8,5.25,7,2.75,2.25,4.75,0.75,1.5,7.25,0.5,0.5,0.75,2.75,36
"5","E61",15518.225,2.25,292.125,2.125,9.75,1252.025,7.55,17,4285.925,23.9,29,5830.075,23,2466.35,422.4,3096.575,12.75,2.75,5.75,0.5,4,3,9,4.75,6,6.25,7,8.75,0,57.75
"6","F30",26981.475,12.25,1915.675,6.825,15.75,3001.775,11,28.5,7854.075,29.7,59,13247.3,54.75,6199.475,960.925,6595.4,7.5,7,10,8.5,5.5,7.25,9.25,5.5,10.25,5,5.25,9.5,7.75,90.75
"7","F47",18023.975,0.5,70.925,0.3,14.5,3860.575,20.675,24.25,11472.525,64.35,39.25,15404.025,37.5,1026.7,80.8,2276.25,3.25,0.5,0.25,0,4,0,2.25,3.5,0.5,0.75,0.75,2.25,0,14.75
"8","F68",23124.025,0.75,104.325,0.475,6.25,1690.4,7.675,31,18343.75,79.175,38,20138.475,37,997.775,70.375,1687.825,3.5,1.5,1.25,0,3.25,1.25,1.25,3.5,1.25,0.25,0.5,1,0,15
"9","F70",24137.9,2.25,1051.825,4.525,9.5,3096.95,13.575,28.25,16638.5,67.85,40.25,20862.35,38.5,1670.475,94.775,1244.775,2.75,5.75,9.5,0,3,5.25,0.75,2.75,9.75,0.75,0.75,0.75,0.25,39.25
"10","F82",25872.15,0.25,70.95,0.275,0.75,183.65,0.7,0.75,141.925,0.525,1.75,396.5,1.5,79.3,8.275,149.95,8.5,0,0.5,0,0.25,0,0.25,0.25,0.25,0,0,0.25,0,1.75
"11","K28",39331.7,1.5,204.5,0.525,14,3033.65,8.2,48.25,31667.45,80.225,63.75,34905.625,61.25,3305.475,168.4,2096.375,2.25,3.75,7.75,0,6.25,3.5,9.75,6.25,8,0.75,0.75,9.75,0,56.5
"12","K31",28472.85,1.5,284.05,0.8,8.5,2725.05,8.025,35.5,20881.075,73.375,46.25,24186.475,40.5,1202.8,82.45,2115.875,8.25,3.25,4,0.5,2.5,4,3.75,3.5,3.25,2.25,2.25,3.75,0.5,33.5
"13","K9",26512.225,1.5,321.35,1.75,19.5,6061.55,20.475,27.75,15868.175,58.7,49.25,22471.45,48.5,1909.35,178.075,3239.625,3.75,7.75,5.5,1.25,5.25,6.75,7.75,4.25,6.25,5,5.25,7.25,1.5,63.75
"14","S3",67640.575,20.25,4597.725,6.225,35.25,8914.95,14.425,71,32395.475,47,128.75,46225.25,120.25,8414.575,904.3,7917.225,21,19.5,29.25,8.75,22.5,21.5,13.5,25.75,26.25,5.25,5.75,12.25,9.75,200
"15","S82",108911.675,32,11317.625,21.5,73.25,34073.475,27.375,46,41366.375,30.675,157.75,89823.95,147,4753.15,474.75,9496.225,21,22,34.75,7.5,17.25,23.75,14.75,18.5,33.5,11.25,10.75,15.5,7.25,216.75
"16","Y27",24106.375,2.5,392.3,1.775,15,2749.9,11.5,39,12490.825,50.75,56.75,15658.075,55,5909.125,391.525,3026.2,5.25,5.25,4,1.75,10,6.25,1.75,11,3,0.75,0.75,1.75,1.75,48
"17","Y42",67137.375,34,6409.575,8.225,43.5,8902.05,12.95,35.5,18106.6,28.425,120.5,35064.825,113,9864.125,1335.65,9108.05,16.75,11.5,24.5,19.75,13.5,10.5,7.5,12.25,25.25,16,15.75,7.75,19.75,184
"18","Y6",17258.35,1,484.05,2.325,8.5,2683.375,15.45,20.25,12131.9,70.525,29.75,15299.275,25.25,797.075,80.275,2219.275,5.5,5.75,5,0,6,5.25,1.25,6,5.25,0.25,0.25,1,0.25,36.25
