"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt"
"1","E27",10213.475,5.625,1978.3375,10.725,3.75,951.475,54.925,25,13005.625,70.8,20,8956.875,19.25,459.1875,21.55,617.7625,1.25,7.75,0.125,0.125,0,7.5,0.625,0,0,0.125,0.125,0.625,0.125,17.125
"2","E31",44934.9875,21.25,3879.025,5.6,11.25,2535.775,47.35,33.25,9031.875,10.3,44.5,9879.8875,40.25,3390.65,586.9625,4341.1625,18.5,10.875,0.375,16.5,0,10.375,10.125,0,0.125,2,1.875,9.75,17,79
"3","E5",30721.975,27.5,6106.2625,12.467116781199,20.5,4506.3,43.475,60.5,24942.15,46.1334217075308,68.25,20864.1125,61.375,3411.6,340.475,3864.3625,6.875,20.875,0.625,10.625,0,19.625,12.875,0,0.875,3.75,3.875,11.75,11.5,96.375
"4","E8",22018.1625,3.625,1060.1125,2.5875,12.75,4547.075,64.675,36.25,26384.2,73.075,28.25,16542.4375,26.125,954.3,68.475,991.7875,2.625,5.75,0.25,2.5,0,5.875,7.875,0,0.25,0.625,0.625,8,2.375,34.125
"5","E9",60842.5,41.25,14834.1125,14.2,8,2684.075,52.625,74.25,31684.325,23.9,82.75,32085.0625,76.875,5063.3875,680.825,7015.7875,45.5,27.625,0,24.125,0,26.75,21.25,0,0,1.75,1.75,20.625,24.75,148.625
"6","F15",8539.525,1.75,245.25,2.5125,8.25,2303.625,74.275,23.25,11380.375,81.675,17.625,7099.775,16.625,695.9875,62.4,825.3125,1.375,1.25,0.125,1.375,0,0.75,1.5,0,0,0.125,0.125,1.5,1.375,8.125
"7","F34",11384.9,3.375,455.775,2.45,4,632.575,13.725,7,1573.45,6.775,8.875,1558.8125,6.75,1029.45,184.3625,1289.9875,13.5,2,0,2.875,0,1.625,4.25,0,0,0.5,0.5,4,3.125,18.875
"8","F42",10886.0375,2.25,425.875,3.225,18.75,5058.4,67.75,27,10086.15,71.5,25.125,7998.15,23.5,704.65,58.0125,1447.05,2.75,2.5,0.125,1,0,2.25,2.5,0,0,3.75,3.625,2.5,1.125,19.375
"9","K2",19799.375,10.125,2587.475,8.25,29.5,7996.075,82.25,33,17389.55,62.525,41.375,15280.275,39.25,2738.2375,172.3375,1313.9875,3.375,14.25,0.375,1,0,14.125,1.5,0,0.375,0.25,0.375,1.5,0.875,34.625
"10","K23",12784.2,6,1725.675,6.425,7.75,1539.8,54.025,19,4006.35,18.025,19.375,4498.7625,11.5,705.8875,159.3625,1665.1875,15.625,5.375,0.125,4.5,0,5.125,9.5,0,0.125,0.75,0.75,9.5,4.5,40.25
"11","K30",18776.9,14.125,2284.3,11.5125,38,8991.95,45.55,24,4724.075,28.125,46.625,9482.4375,43.625,4685.625,428.125,2982.875,4.625,4.25,2,4.5,0,3.75,1.75,0,2,4.5,4.625,1.5,4.625,33.5
"12","K45",26170.225,15.75,9019.375,17.3875,6.75,2161.875,63.75,31,20207.575,46.075,36,20564.8875,33,897.7,63.6,1336.9,4.75,10.125,0,2.75,0,10.5,2.75,0,0,0.25,0.25,2.875,2.625,32.125
"13","K80",22540.7125,4.5,987,3.9375,8.75,3775.7,66.725,38.75,30653.575,72.375,28.25,18201.625,26.875,1561.6,101.1125,1143.1125,2.5,4,0.125,0.375,0,3.875,5.625,0,0.125,0.75,0.75,5.625,0.375,21.625
"14","K81",20739.9875,16.875,3935.85,13.025,19,4897.175,46.925,18.75,8834.95,28.15,36.875,10977.55,31.75,1104.9125,135.125,2810.2125,12.5,11.375,1.25,6.75,0,11.375,4.375,0,1.375,2.75,2.875,4.375,6.5,53
"15","S18",10427.7,0.75,198.2125,1.8375,17.75,5982.125,72.6,24.5,10324.025,82.975,22.125,8395.1125,20,413.8125,26.35,1060.8375,2.125,1.625,0.625,0.375,0,1.375,5,0,0.625,3.625,3.75,5,0.25,22.25
"16","S6",27378.5125,21,13351.075,30.9625,7.75,2362.35,55.925,20.5,17134.825,32.85,35.375,23199.825,31.875,822.1625,85,2243.325,7.75,17,0.5,2.875,0,17,2,0,0.5,0.375,0.375,1.75,3,45.375
"17","S7",19637.1125,6.375,3630.9375,7.8375,8,2958.25,68.85,32.75,24818.625,76.4,26.875,17550.675,25.875,640.9875,44.5625,1158.8,2.375,9.125,0.125,1.875,0,9.25,7.875,0,0,0.5,0.5,7.75,1.875,38.875
