"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","E1",33102.25,5.75,1621.95,4.525,11.25,4210.8,13.175,42.5,23552.25,71.025,59.5,29385,58.5,1851.775,170.85,2707.875,4,8.75,0,1.25,3.25,7.5,4.5,2,1.5,1.75,1.75,4.5,1.25,38,3
"2","F36",13963.2,1,254.575,1.675,7,1631.875,11.725,24.25,9852.875,70.475,32.25,11739.275,29.75,760.1,48.425,1398.525,2.5,3.75,0,0,3,2.75,2.25,2,1,0.25,0.25,2.25,0,17.5,3
"3","F43",18088.8,14.75,3739.525,20.875,3,734.425,4.2,32,8181.1,45.625,49.75,12655.075,49.25,2802.75,173.475,2626.175,4,14.25,1,0.75,0.75,14.25,0.75,0.75,0.75,0.25,0.25,0.75,0.75,35.25,3
"4","F63",141593.675,49.75,17363.675,11.825,87.75,26865.45,20.225,104.5,62371.95,43.55,245.25,107173.225,231.75,12651.65,1493,21719.8,28.5,50.25,6.5,24.25,9,47,49.5,7,8,18.75,18.75,48.75,25,312.75,3
"5","F77",38007.25,13.5,10694.125,26.85,13.5,3393.925,8.75,28.25,18422.625,50.55,56.5,32902.925,54.5,1426.975,140.55,3905.25,6.75,18,2.5,2.75,2.25,17,3,1.5,4,1.25,1.5,3,2.5,59.25,3
"6","K40",38945.8,16.25,6200.7,15.925,12.75,2443.125,6.075,48.25,21962.95,56.15,77.75,30702.725,74.5,3280.65,162.9,2496.6,6.25,19.5,0.25,4.5,1,19.25,20.25,1.25,0,2,2,19.75,5,94.75,3
"7","K43",25190.75,5.5,3454.375,11.925,1,308.8,1.425,24,17525.225,71.475,30.5,21288.375,26.75,563.575,93.8,3507.1,10.5,21,0,1.25,0.5,20.25,3.5,0,0.5,0,0,3.5,1.25,51.75,3
"8","K46",26447.975,1,150.275,0.675,3,1097.75,4.525,28,22185.775,83.15,32,23433.825,30,684.875,62.4,1797.725,3,3.5,0,0,1.75,2.75,0.75,1.25,0.5,0.25,0.25,0.75,0,11.75,3
"9","K51",27808.525,2,592.575,2.025,5.5,1495.575,5.625,33,22866.65,81.825,40.75,25009.075,40,1023.875,93.075,2457.625,4.5,6.25,0.25,1.5,1.25,6.25,3.25,1.5,0.5,0,0.25,3.25,1.5,25.75,3
"10","S131",29065.75,1.75,893.1,2.35,9.5,3384.95,12.8,26.25,21617.4,73.525,38.5,26076.675,36.75,919.425,53.575,1621.475,1.75,5.75,0,0.75,2,5,5.25,1.5,0.75,0.25,0.75,5,0.5,27.5,3
"11","Y12",20576.425,0.75,259.475,1.3,7.5,2247.05,11.15,23,15587.925,75.5,31.25,18094.425,28,618,52.275,1788.075,4.75,1.5,0,0.5,1.75,1.25,3,1.25,0.75,0.5,0.5,3.25,0.25,14.5,3
"12","Y29",15696.575,2.5,801.275,4.2,8.25,2800.25,18.4,20.25,10754.55,68.875,31,14356.075,29.75,792.975,61.1,2103.5,2.5,3.75,0,0.25,2.25,3.25,0.5,1.75,1,0,0,0.5,0.25,13.5,3
"13","Y40",94760.55,38.5,11366.4,11.5,56.5,12414.225,13.25,87,32562.1,36.275,182.25,56463.85,137,8557.675,784.575,10119.15,63.25,37.25,3,37.75,4,36,47.25,4.5,3,13.25,13.25,46.25,39,284.5,3
"14","Y44",18890.3,1,214.45,1.2,10.5,2315.45,11.875,38.25,12809.925,68.075,49.75,15339.8,46.75,1520.85,124.8,3430.8,6.25,6,0.75,0,3.25,5.75,2,3,1,0.25,0.25,2,0,24.25,3
"15","Y46",28698,7,1385.125,4.025,7.5,1400.5,4.025,8.25,3305.55,9.1,23.5,6237.225,22.25,1156.125,195.025,2609.375,10,1.25,2.75,1.5,0,1.5,3.5,0.25,2.25,1.25,1.25,3.5,1.5,20.5,3
