"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt"
"1","E13",53556.625,7.5,1657.775,2.75,6.25,2103.45,4.775,57.25,39267.25,75.375,72.75,43404.05,69.5,2682.675,222.225,5072.45,9.25,19.25,0,2.75,1.75,19,6.25,1.75,0.25,0.5,0.5,5.75,3,60.75
"2","E30",88286.3,10.25,6211.35,5.4,19,4782,6.4,93,46929.2,53.85,122.5,57964.325,72.5,2466.475,253.275,5167.2,47,17.5,2.75,2.25,4.25,17.75,111,5,2.75,5.5,5.5,111.25,2,287.5
"3","E56",65763.775,15.25,3181.4,4.375,8,3021.675,4.4,57.5,41273.075,62.625,82,47644.175,77,3801.275,483.5,8689.825,19.5,14.25,0.75,7.75,2,13,30.75,1.75,1.5,1,1.25,30,8,112
"4","F16",16091.15,4,1569.225,11.05,4.75,1327.1,8.55,23.5,11672.85,70.95,32.5,14635.925,31.5,805.45,71.55,1730.975,2.5,5,0.25,0.25,1,3.75,0.25,0.25,0.75,0.5,0.25,0.25,0.5,13
"5","F71",43149.2,8,4487.675,9.775,7.25,2437.1,5.35,30.25,32338.675,76.125,45.5,39263.375,43.25,956.3,61.025,2045.025,3,15,1.5,3.5,2,14.25,4.75,1.75,2,0.5,0.5,4.75,3.5,54
"6","K20",28032.025,1.25,659.35,2.425,4.5,1352.225,5,27.5,23465.325,83.175,33.25,25476.875,30.75,793.3,43.55,1079.65,3.25,2.75,0.25,0.5,2.5,2,7.5,1.75,0.5,0.25,0.25,7.5,0.5,26.25
"7","K21",58012.25,3.25,747.1,0.925,8.5,3099.8,5.4,34.5,41438.175,75.5,46.25,45285.1,36.75,857.325,79.9,2160.675,13,9.5,1,0.75,1.5,8.5,22.25,0.75,1.75,4.75,4.75,22,1,78.5
"8","K29",25068.45,10.75,2942.875,13.75,5.5,1168.975,5.525,35.5,15411.35,57.6,52,19556.55,49.5,1677.025,159.775,2089.675,3.5,8.5,0.25,7.75,0.75,8.5,7.25,1.5,0,0.75,1,7,7.75,51
"9","K42",69511.275,6.5,3308.725,5.025,8.75,3016.6,5.45,54,54623.025,77.825,70,61136.125,65,1825.325,299.85,8341.475,18,25.5,1.75,5.5,2.5,25,25,2.25,1.5,1,1,25,5.5,121.5
"10","K44",46247,18.75,3091.85,6.675,8.5,1915.225,4.225,44.75,22468.3,48.925,73,27588,70.25,4437.9,680.2,4960.075,16,14,0.75,7.5,3,13,17.5,2.75,1,2.5,2.75,16.5,8.25,89.5
"11","K48",33128.175,11.75,7288.35,20.725,5.25,2707.125,6.5,23.25,20222.2,63.325,40.25,30217.675,39.25,1093.9,91.2,2250.225,3.25,17.75,4,2.75,1.5,17,3.75,0.75,5.25,1,1,4,2.5,61.25
"12","K50",19660.675,1,179.15,0.8,6,1990.55,9.475,25.75,14152.475,72.6,32.75,16322.175,31.75,840.15,73.6,1545.075,1.75,1,0.5,0,1.75,0.5,1.75,1.5,0.25,0,0,1.75,0,9
"13","S126",21796.625,5,1635.875,6.75,1.5,475.75,2.125,33.25,17136.725,80.25,39.75,19248.35,37.25,963.85,61.325,1415.625,2.75,9.25,0,0.75,0.25,9.25,7,0.5,0.25,0.25,0.5,7.25,0.25,35.5
"14","S127",28149.525,15.5,9260.8,37.075,4.75,1282.4,5.425,18.25,15063.05,47.375,39.25,25806.55,37.5,832.075,39.15,1203.475,2,16.5,1,4,0.75,16.25,4,0,1.75,0.25,0.25,4.75,3.25,52.75
"15","S137",18012.15,15.5,3631.075,22.75,7.75,1398.3,7.125,21.75,8686.875,44.425,45,13716.25,44.5,1896.45,214.675,2958.025,4.75,14.5,1.5,2.25,1.5,13.75,4.75,1,2.25,0.25,0.25,5,2.25,49.25
"16","S14",82666.25,4.75,1164.325,1.35,7.75,2028.2,2.325,65,71716.375,87.35,78.25,75050.725,77.75,2216.15,325.55,9126.2,17.5,16.5,0.25,1.75,3,15.5,10.75,2.75,0.75,0.25,0.25,10.5,2,64.25
"17","Y39",15888.4,1,154.4,1.1,8.75,2622.675,16.225,27.75,10751.65,66.5,37.75,13553.725,36.75,1032.625,83.575,2506.225,3,2.25,0.25,0.25,2.5,1.75,2.5,1.75,1,0.25,0.25,2.25,0.25,15.25
"18","Y41",30591.975,1.5,242.225,0.9,14,4083.1,12.45,22.75,23427.075,77,38.25,27752.45,37.5,927.475,66.225,2297.15,2.5,2.25,1,0,2,1.75,3.5,1.75,1.5,1.25,1.25,3.5,0,19.75
"19","Y43",20496.325,20.75,3548.25,17.225,3.5,596.85,2.325,23.5,4028.2,17.725,47.75,8173.3,45.5,7237.775,1018.875,6308.3,9,8.5,5.25,6.25,0.5,7.75,7,0.5,5.75,0.25,0.25,6.75,6.5,55.25
"20","Y45",45904.425,8,1431.4,2.75,23.25,6046.125,12.275,45.5,30348.775,66.9,77.25,37913.975,74.25,4312.525,306.125,3519.825,5,10.75,0.5,1.25,4,9.25,8,2.75,2,3.5,3.5,8.25,1,54.75
