"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","C12",47714,10.3333333333333,4227.13333333333,8.43333333333333,19,5031.13333333333,9.8,57,30596.4333333333,66.1333333333333,87,39988.4666666667,83,5322.03333333333,397.1,3687.3,3,28,7,6.66666666666667,9.66666666666667,28.6666666666667,21.6666666666667,10.6666666666667,7.66666666666667,4,5,22,5.33333333333333,156.333333333333,5
"2","E70",81198.8,23.6666666666667,11599.1666666667,13.1,28.3333333333333,8240.8,9.33333333333333,84.6666666666667,55241.2,69.7666666666667,136.666666666667,75081.2,134.333333333333,3088.73333333333,141.2,4879.36666666667,2.66666666666667,26.6666666666667,4.33333333333333,1.33333333333333,14.3333333333333,25.6666666666667,4.66666666666667,13.3333333333333,5.33333333333333,0.333333333333333,0.666666666666667,4.66666666666667,1,102.333333333333,5
"3","K16",45772.0666666667,12.6666666666667,1997.76666666667,4.46666666666667,12.3333333333333,2081.1,4.16666666666667,66.6666666666667,19243.1333333333,42.3666666666667,92,23360.9666666667,82.6666666666667,13155,1548.9,6590.7,8.33333333333333,15.3333333333333,7.33333333333333,6,4.33333333333333,17.6666666666667,33.6666666666667,7.33333333333333,5.33333333333333,3.66666666666667,4.33333333333333,33.6666666666667,5.33333333333333,144,5
"4","K17",24366.7666666667,1.66666666666667,556.433333333333,2.33333333333333,7.33333333333333,2409.4,9.2,35.3333333333333,17806.1333333333,73.4,44.3333333333333,20772.0333333333,35.6666666666667,773.466666666667,61.3,2358.6,11.3333333333333,5.33333333333333,2,0,5.66666666666667,4.33333333333333,4.33333333333333,6,2.33333333333333,1,1,3.66666666666667,0.666666666666667,36.3333333333333,5
"5","K18",34790.8333333333,9,5692.36666666667,20.1666784807463,14.6666666666667,6254.23333333333,17.2193154295721,28.6666666666667,18062.3,32.1702883307438,52.3333333333333,30008.9,45,1213,88.6,3104.33333333333,9.33333333333333,24.3333333333333,7,0.333333333333333,7.66666666666667,25,3,9.33333333333333,5.66666666666667,0.666666666666667,0.666666666666667,2.66666666666667,0.666666666666667,87,5
"6","K19",34575.3666666667,12.3333333333333,1602.86666666667,5.13333333333333,17.6666666666667,3782.96666666667,8.6,31.3333333333333,5945.86666666667,16.8666666666667,68,12401.6666666667,58.3333333333333,4412.76666666667,818.966666666667,7966.1,24.6666666666667,7.33333333333333,4.33333333333333,15.6666666666667,11.6666666666667,9.33333333333333,25,13.3333333333333,3,14.3333333333333,15.3333333333333,25,14.6666666666667,159,5
"7","K24",74434.4666666667,5.66666666666667,1219.5,1.08476963555294,37.6666666666667,14492.6333333333,19.5662080569761,54,49957.9333333333,66.9117839778619,97.3333333333333,65670.1333333333,90.3333333333333,2245.6,167,4458.93333333333,7.33333333333333,9.66666666666667,4.66666666666667,0.333333333333333,3.66666666666667,10,8.66666666666667,4.33333333333333,4,10,10,8.66666666666667,0.333333333333333,74.3333333333333,5
"8","K25",42802.7,12,2181.36666666667,4.56666666666667,15.3333333333333,2203.73333333333,5,46,8641.1,20,74.6666666666667,13154.6333333333,59.6666666666667,6453.03333333333,1132.16666666667,9321.33333333333,32.3333333333333,11,5,13.3333333333333,4,12,26.6666666666667,5,5.33333333333333,9.66666666666667,11,26.6666666666667,12,141.666666666667,5
"9","K33",30786.9666666667,3,900.333333333333,2.96666666666667,21.6666666666667,5866.7,18.7666666666667,35.6666666666667,16871.0333333333,55.4333333333333,60.3333333333333,23638.0666666667,56,1903,202.233333333333,3060.8,7.33333333333333,4,2,1.66666666666667,2.66666666666667,4.33333333333333,1.66666666666667,2.66666666666667,1.33333333333333,4.66666666666667,4.66666666666667,2,1.33333333333333,33,5
"10","K34",43245.7333333333,7.66666666666667,1802.96666666667,5.46666666666667,6,1387.26666666667,2.96666666666667,72.6666666666667,26024.4333333333,58.9,87,29314.9,79.6666666666667,5595.13333333333,335,3162.83333333333,14,19.3333333333333,2.33333333333333,2.66666666666667,8,19.6666666666667,15,8.66666666666667,2.66666666666667,0.333333333333333,0.666666666666667,14.6666666666667,2.66666666666667,96.6666666666667,5
"11","K38",38472.8333333333,10.3333333333333,3094.6,8,25.6666666666667,7293.73333333333,18.9,44,18967.3333333333,48.8,86,31030.2,79,2317.73333333333,175.566666666667,4534,7.33333333333333,16,8,9.66666666666667,5.33333333333333,18,10.3333333333333,8,5.33333333333333,4.33333333333333,4.33333333333333,10,10,109.333333333333,5
"12","K4",40169.1,3.33333333333333,422.866666666667,1.13333333333333,10,1535.96666666667,3.3,3.33333333333333,476.333333333333,1.46666666666667,18.3333333333333,2613.2,13.6666666666667,1861.96666666667,348.066666666667,2376.43333333333,39.3333333333333,0.666666666666667,4,7,6.33333333333333,0.666666666666667,3.66666666666667,7,3.66666666666667,3.66666666666667,4.33333333333333,3,7,51,5
"13","K6",60235.0333333333,6.33333333333333,3107.66666666667,5.76666666666667,13,3966.96666666667,6.66666666666667,53.6666666666667,47207.9333333333,77.9,73.6666666666667,54437.9,64,1575.73333333333,110.533333333333,3657.66666666667,13,12.6666666666667,7.33333333333333,3.66666666666667,5.66666666666667,12.3333333333333,11,6,6.33333333333333,0.666666666666667,0.333333333333333,11,4.33333333333333,81.3333333333333,5
"14","K7",19503.8,2,898.4,4.16666666666667,6,1691.6,8.13333333333333,33,13557.5666666667,70,41,16147.5333333333,40.3333333333333,840.766666666667,52.5333333333333,1951.36666666667,2.66666666666667,4.66666666666667,1,0,4.33333333333333,3.66666666666667,0.666666666666667,3.66666666666667,2,0,0,0.666666666666667,0,20.6666666666667,5
"15","K8",35254.8666666667,25.3333333333333,10145.1,30.2666666666667,11,3710.5,11.5333333333333,29.3333333333333,14164.7333333333,39.0333333333333,70.6666666666667,30880.5666666667,68,1799.8,123.666666666667,2424.13333333333,3,13.6666666666667,4.33333333333333,9,2.33333333333333,12.6666666666667,10,1.33333333333333,5.33333333333333,3,3,10,9,83.6666666666667,5
"16","L159",100852.466666667,14,16375.9333333333,14.6,21.3333333333333,7814.93333333333,7.03333333333333,55.3333333333333,69271.6333333333,71.2,90.6666666666667,93462.5,71.6666666666667,1581.13333333333,119.233333333333,4286.8,24.3333333333333,49,9,2.66666666666667,9,50.6666666666667,12.3333333333333,10.3333333333333,7.66666666666667,0.666666666666667,0.666666666666667,13,2,167,5
"17","S101",55995,24.3333333333333,6212.83333333333,11.2,35.6666666666667,10465.1666666667,17.2,60,27847.2666666667,50.2,124,45521.2333333333,117.333333333333,4959.4,376.633333333333,4459.33333333333,12.3333333333333,24,9.66666666666667,5,9,24.3333333333333,6.66666666666667,9.33333333333333,8.66666666666667,3,2,7,5.66666666666667,114.333333333333,5
"18","S93",126501.433333333,40,10883.4666666667,11,50.3333333333333,11945,11.1333333333333,50.6666666666667,16661.0666666667,12.7333333333333,149.666666666667,42204.4333333333,127.666666666667,6377.1,736.066666666667,9285.36666666667,58,21.3333333333333,11.6666666666667,33,5.33333333333333,21.6666666666667,23,4.66666666666667,13.3333333333333,19.6666666666667,20.6666666666667,24,31,229.333333333333,5
