"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt"
"1","K1",38053.9333333333,26.6666666666667,6685.66666666667,17.3,4,766.1,2.2,49.3333333333333,12510.0333333333,34.6,88,21033.0666666667,66.3333333333333,2782.53333333333,318.466666666667,5404.5,21.3333333333333,33,2.66666666666667,20.3333333333333,0,33,25,1.33333333333333,2,2,2,24,21.3333333333333,166.666666666667
"2","K10",29071.1666666667,5.66666666666667,1061.06666666667,4.8,4.66666666666667,478.466666666667,2,11.6666666666667,2698.3,11.5333333333333,28.6666666666667,5392.46666666667,21,1574.1,303.966666666667,2853.43333333333,17.3333333333333,5.33333333333333,2.33333333333333,10,1.33333333333333,4.33333333333333,8,1.33333333333333,3.33333333333333,3,4.33333333333333,7.33333333333333,9.66666666666667,60.3333333333333
"3","K12",37865.4,29,5515.66666666667,15.4333333333333,26.3333333333333,4493.83333333333,12.2333333333333,27.6666666666667,5191.76666666667,15.0666666666667,97.6666666666667,17727.5666666667,91.3333333333333,6597.7,866.9,8223.9,22.3333333333333,26.6666666666667,8.66666666666667,20,2.33333333333333,25,5.66666666666667,2.33333333333333,8.66666666666667,7,6.66666666666667,4,21.6666666666667,138.666666666667
"4","K13",48488.5666666667,1.66666666666667,300.5,0.533333333333333,10,2531.66666666667,5.3,53.6666666666667,40813.9666666667,83.7333333333333,66,43885.3,58.3333333333333,1558.5,118.1,3467.93333333333,11.3333333333333,5,0.666666666666667,0.666666666666667,4,3.66666666666667,8,3,2,0.666666666666667,0.666666666666667,8,0.666666666666667,37
"5","K15",24665,25.6666666666667,7245.5,29.1333333333333,4.66666666666667,1029.83333333333,4.3,36.3333333333333,10548.2,42.5333333333333,72.6666666666667,20582.1,71.6666666666667,2388.26666666667,114.366666666667,2641.73333333333,3.33333333333333,19,1,4.33333333333333,1,18.6666666666667,2.66666666666667,1,1.66666666666667,0.333333333333333,1,2.33333333333333,4,57
"6","K15a",45719.4,8,2292.53333333333,5.1,10.6666666666667,3088.36666666667,7.23333333333333,47,33048.2333333333,72.4,68.6666666666667,39386.2666666667,64,1731.03333333333,122.1,2851.4,4.33333333333333,13,0,4.66666666666667,4,11.3333333333333,11.3333333333333,2.66666666666667,1.33333333333333,2.66666666666667,2,11.3333333333333,5,69.3333333333333
"7","K22",31570.5333333333,3,1313.1,3.46666666666667,10,3170.96666666667,9.26666666666667,36.6666666666667,21204.6,69.2666666666667,51,26078.8,47.6666666666667,1160.43333333333,117.1,3680.66666666667,7,9,0.333333333333333,1.33333333333333,2.33333333333333,7.66666666666667,3.33333333333333,1.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667,2.66666666666667,1.33333333333333,34
"8","K32",54312.5333333333,13.6666666666667,3860.93333333333,6.13333333333333,22.3333333333333,5154.86666666667,10.7666666666667,64,19543.3,38.4333333333333,105.666666666667,29958.4,92.3333333333333,5599.46666666667,583,6183.16666666667,20.6666666666667,27,2.66666666666667,11.6666666666667,5.66666666666667,26.3333333333333,19.6666666666667,4.33333333333333,4,2,2,20.6666666666667,10.6666666666667,136.666666666667
"9","K35",27529.6,14.3333333333333,3806.23333333333,14.2,18,3786.33333333333,13.6333333333333,35.3333333333333,10450.1333333333,37.2,73,18994.3,68.3333333333333,3411.33333333333,302.5,3571.16666666667,7.33333333333333,11.3333333333333,1.66666666666667,10.6666666666667,4,12,2.33333333333333,4.33333333333333,1.33333333333333,1.66666666666667,1.66666666666667,2.66666666666667,10.3333333333333,64
"10","K36",45586.8333333333,4.66666666666667,2341.73333333333,4.6,13,3533.8,7.96666666666667,37,29948.0333333333,66.4,57,37200.1333333333,52,1509.5,163.766666666667,4081.2,7,16.6666666666667,2,5.33333333333333,5,16.3333333333333,13,4.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,12.6666666666667,5.33333333333333,88.3333333333333
"11","K37",41394.1333333333,4.33333333333333,946.1,2.4,9.33333333333333,2191.96666666667,5.46666666666667,51.6666666666667,30323,73.1,66.6666666666667,33906.2,64.3333333333333,2421.8,173.133333333333,2340.43333333333,2.66666666666667,10.3333333333333,2.33333333333333,2.33333333333333,2,9.66666666666667,13.3333333333333,2,2,1.33333333333333,1,13,3,62.3333333333333
"12","K5",75455.3666666667,11.6666666666667,2512.9,3.06666666666667,1.66666666666667,378.4,0.466666666666667,9.66666666666667,2191.86666666667,2.73333333333333,24.3333333333333,5291,18.6666666666667,1527.3,232.166666666667,2696.26666666667,46.3333333333333,13.3333333333333,1,11,0,13,6,0.333333333333333,1,1,1,5.33333333333333,12,65
"13","K77",80640.2666666667,8.66666666666667,1787.2,1.56666666666667,5.33333333333333,1096.13333333333,1.66666666666667,62.6666666666667,65676.5,84.7666666666667,78,68726.7,70.6666666666667,3260.83333333333,232.366666666667,2665.96666666667,10.6666666666667,15.3333333333333,1.66666666666667,3.33333333333333,1.33333333333333,15.3333333333333,25.6666666666667,1.33333333333333,1.66666666666667,0.333333333333333,0,26,3.33333333333333,95.3333333333333
"14","K78",215546.7,12.6666666666667,5543.43333333333,1.93333333333333,24.3333333333333,6113.06666666667,2.69071833014316,167.333333333333,181511.733333333,84.5345984917419,207.333333333333,193557.7,194.666666666667,6819.3,633.033333333333,10919.7333333333,35,38.6666666666667,3.33333333333333,10.3333333333333,8.33333333333333,38.6666666666667,92,7,4,5.33333333333333,4.66666666666667,93.6666666666667,9.33333333333333,315.333333333333
"15","S138",38025.8,4.66666666666667,2200.3,5.93333333333333,17.3333333333333,5605.8,14.9666666666667,36,25618.5,67.2666666666667,58.3333333333333,33508.0666666667,56.3333333333333,1303.5,74.9,2600.8,3.33333333333333,8,2,2,2,7.66666666666667,4.66666666666667,1.66666666666667,2,0.666666666666667,0.666666666666667,5,1.66666666666667,38
