"id","version","grade","sex","dot","wri_level","wri_words","incorrect_1_6_pct","incorrect_7_12_pct","incorrect_total_pct"
"F30",1,3,"","42746","L3",77,10.8527131782946,98.4251968503937,54.296875
"F47",1,3,"F","1/11/17","L3",85,13.1782945736434,99.2125984251969,55.859375
"F68",1,3,"M","1/13/17","L3",89,13.1782945736434,98.4251968503937,55.46875
"F70",1,2,"M","1/18/17","L3",81,10.8527131782946,99.2125984251969,54.6875
"F82",1,2,"M","1/11/17","L2",72,14.7286821705426,99.2125984251969,56.640625
"K28",1,3,"F","2/13/17","L1",54,8.52713178294574,97.6377952755905,52.734375
"K31",1,3,"M","2/13/17","L3",83,11.6279069767442,97.6377952755905,54.296875
"K9",1,3,"F","2/13/17","L3",87,11.6279069767442,98.4251968503937,54.6875
"S10",1,2,"M","12/1/16","LP",23,4.65116279069767,85.8267716535433,44.921875
"S3",1,2,"M","12/16/16","L1",37,8.52713178294574,93.7007874015748,50.78125
"S58",1,3,"M","12/7/16","L3",85,14.7286821705426,100,57.03125
"S63",1,3,"F","12/5/16","L3",99,13.1782945736434,99.2125984251969,55.859375
"S73",1,3,"F","12/7/16","L2",62,9.30232558139535,95.2755905511811,51.953125
"S82",1,2,"M","12/13/16","L1",40,3.10077519379845,85.8267716535433,44.140625
"Y27",1,2,"M","2/9/17","L3",87,13.1782945736434,100,56.25
"Y42",1,2,"N/A","2/10/17","L1",46,10.077519379845,94.488188976378,51.953125
"Y6",1,3,"M","2/10/17","L3",83,10.077519379845,99.2125984251969,54.296875
"E34",1,2,"M","10/25/17","L2",66,12.4031007751938,99.2125984251969,55.46875
"E35",1,2,"F","10/25/17","L3",75,7.75193798449612,96.0629921259843,51.5625
"E26",1,3,"M","11/1/17","L2",62,10.8527131782946,96.8503937007874,53.515625
"E16",1,3,"F","11/2/17","L1",49,6.2015503875969,94.488188976378,50
"E61",1,3,"M","11/1/17","L3",100,12.4031007751938,98.4251968503937,55.078125
"F15",2,3,"F","1/13/17","L3",91,12.4031007751938,99.2125984251969,55.46875
"F34",2,3,"M","1/13/17","L3",93,11.6279069767442,96.8503937007874,53.90625
"F42",2,3,"M","1/11/17","L3",84,14.7286821705426,100,57.03125
"K2",2,3,"F","2/13/17","L3",85,11.6279069767442,99.2125984251969,55.078125
"K23",2,3,"F","2/13/17","L2",66,13.953488372093,97.6377952755905,55.46875
"K30",2,3,"M","2/13/17","L3",90,12.4031007751938,98.4251968503937,55.078125
"S1",2,2,"M","12/1/16","L2",68,10.077519379845,95.2755905511811,52.34375
"S15",2,2,"F","12/6/16","L2",77,13.1782945736434,100,56.25
"S18",2,2,"M","12/16/16","L3",90,14.7286821705426,100,57.03125
"S6",2,2,"M","12/13/16","L2",56,12.4031007751938,95.2755905511811,53.515625
"S7",2,2,"F","12/16/16","L3",77,13.953488372093,97.6377952755905,55.46875
"S72",2,3,"F","12/7/16","L2",71,10.8527131782946,97.6377952755905,53.90625
"S90",2,3,"F","12/5/16","L2",64,10.077519379845,98.4251968503937,53.90625
"S91",2,3,"F","12/5/16","L2",76,11.6279069767442,99.2125984251969,55.078125
"E31",2,2,"M","10/25/17","L1",33,5.42635658914729,92.9133858267717,48.828125
"E27",2,3,"M","11/1/17","L2",79,11.6279069767442,98.4251968503937,54.6875
